,price,no. of ratings,average rating,link
29,160.0,1,5,www.lazada.com.my/products/2-years-warranty-casio-mtp-1302sg-1b3v-men-analog-date-functioning-arabic-number-classic-black-dial-two-tone-silver-gold-stainless-steel-strap-original-casual-watch-mtp-1302sg-i1855616784.html
30,90.0,0,0,www.lazada.com.my/products/casio-mens-analog-brown-leather-strap-watch-mtpvt01bl-5b-mtp-vt01bl-5b-watch-for-man-jam-tangan-lelaki-men-watch-watch-for-men-casio-watch-for-men-casio-watch-i3144627162.html
31,145.0,1,5,www.lazada.com.my/products/casio-100-original-aw-80d-10-year-battery-life-analog-digital-stainless-steel-band-men-sports-watch-jam-tangan-lelaki-i2560588824.html
32,79.0,0,0,www.lazada.com.my/products/casio-mens-standard-analog-silver-stainless-steel-band-watch-mtpv002d-7b3-mtp-v002d-7b3-watch-for-man-jam-tangan-lelaki-men-watch-watch-for-men-casio-watch-for-men-casio-watch-i2426211958.html
33,79.0,2,5,www.lazada.com.my/products/casio-mens-standard-analog-silver-stainless-steel-band-watch-mtpv002d-2b3-mtp-v002d-2b3-watch-for-man-jam-tangan-lelaki-men-watch-watch-for-men-casio-watch-for-men-casio-watch-i2426270632.html
34,79.0,1,5,www.lazada.com.my/products/casio-mens-standard-analog-silver-stainless-steel-band-watch-mtpv002d-1b3-mtp-v002d-1b3-watch-for-man-jam-tangan-lelaki-men-watch-watch-for-men-casio-watch-for-men-casio-watch-i2426253534.html
35,163.0,0,0,www.lazada.com.my/products/casio-100-original-mtp-1381l-date-display-fashion-quartz-analog-leather-band-men-watch-jam-tangan-lelaki-i2843401246.html
36,89.0,5,4,www.lazada.com.my/products/2-years-warranty-casio-original-standard-mrw-200h-analog-mens-watch-mrw-200h-watch-for-man-jam-tangan-lelaki-man-watch-watch-for-men-casio-watch-for-men-casio-watch-i107729655.html
37,125.0,0,0,www.lazada.com.my/products/casio-100-original-mtp-1303d-mtp-1303sg-minimal-design-quartz-analog-stainless-steel-band-men-watch-jam-tangan-lelaki-i2834184394.html
38,82.0,40,4,www.lazada.com.my/products/casio-original-mtp-v006l-series-analog-leather-men-watch-mtp-v006l-1b-mtp-v006l-7b-watch-for-man-jam-tangan-lelaki-man-watch-watch-for-men-casio-watch-for-men-casio-watch-i547060435.html
39,51.9,3,4,www.lazada.com.my/products/casio-mens-analog-mw-240-1e2vdf-big-case-black-resin-casual-watch-watch-for-man-jam-tangan-lelaki-casio-watch-for-men-casio-watch-men-watch-i954758438.html
